[2018-07-10] | [16:43:46:506] | [info] | sending to window
[2018-07-10] | [16:43:47:501] | [info] | sending to window
[2018-07-10] | [16:44:03:889] | [info] | sending to window
[2018-07-10] | [16:44:04:312] | [info] | sending to window
[2018-07-10] | [16:56:59:110] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10] | [16:57:55:408] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10] | [16:58:01:608] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10] | [16:58:08:577] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-10] | [17:00:01:195] | [info] | Wrote PDF to C:\Users\cleggt\AppData\Local\Temp\print.pdf
[2018-07-11]  [16:50:59:341]  | [info] |  sending to window
[2018-07-11]  [16:51:22:631]  | [info] |  sending to window
[2018-07-11]  [16:53:11:267]  | [info] |  App starting...
[2018-07-11]  [16:53:11:287]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [16:53:29:561]  | [info] |  sending to window
[2018-07-11]  [17:00:38:866]  | [info] |  App starting...
[2018-07-11]  [17:00:38:872]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [17:00:42:707]  | [info] |  sending to window
[2018-07-11]  [17:07:20:351]  | [info] |  Checking for updates manually
[2018-07-11]  [17:07:20:602]  | [info] |  Checking for update
[2018-07-11]  [17:07:20:606]  | [info] |  Checking for updates...
[2018-07-11]  [17:07:20:610]  | [info] |  sending to window
[2018-07-11]  [17:07:25:356]  | [info] |  Update for version 2.4.5 is not available (latest version: 2.4.5, downgrade is disallowed).
[2018-07-11]  [17:07:29:938]  | [info] |  Up to date
[2018-07-11]  [17:07:29:970]  | [info] |  sending to window
[2018-07-11]  [17:13:12:418]  | [info] |  App starting...
[2018-07-11]  [17:13:12:424]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-11]  [17:13:14:772]  | [info] |  sending to window
[2018-07-12]  [09:14:17:363]  | [info] |  App starting...
[2018-07-12]  [09:14:17:366]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-12]  [09:14:19:326]  | [info] |  sending to window
[2018-07-12]  [09:15:39:140]  | [info] |  App starting...
[2018-07-12]  [09:15:39:144]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-12]  [09:15:41:139]  | [info] |  sending to window
[2018-07-12]  [09:15:50:307]  | [info] |  sending to window
[2018-07-12]  [09:17:16:415]  | [info] |  App starting...
[2018-07-12]  [09:17:16:419]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-12]  [09:17:18:139]  | [info] |  sending to window
[2018-07-12]  [09:23:34:345]  | [info] |  App starting...
[2018-07-12]  [09:23:34:347]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-12]  [09:23:36:068]  | [info] |  sending to window
[2018-07-12]  [09:24:28:458]  | [info] |  App starting...
[2018-07-12]  [09:24:28:464]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-12]  [09:24:31:188]  | [info] |  sending to window
[2018-07-12]  [09:58:57:378]  | [info] |  App starting...
[2018-07-12]  [09:58:57:382]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-12]  [09:58:59:258]  | [info] |  sending to window
[2018-07-12]  [10:01:41:474]  | [info] |  App starting...
[2018-07-12]  [10:01:41:479]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-12]  [10:01:43:254]  | [info] |  sending to window
[2018-07-12]  [10:02:51:384]  | [info] |  App starting...
[2018-07-12]  [10:02:51:391]  | [info] |  DEV ENVIRONMENT = undefined, true
[2018-07-12]  [10:02:52:785]  | [info] |  sending to window
[2018-07-12]  [10:18:05:681]  | [info] |  App starting...
[2018-07-12]  [10:18:05:683]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-12]  [10:18:07:379]  | [info] |  sending to window
[2018-07-13]  [12:53:16:600]  | [info] |  App starting...
[2018-07-13]  [12:53:16:609]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-13]  [12:53:19:440]  | [info] |  sending to window
[2018-07-13]  [13:34:28:355]  | [info] |  App starting...
[2018-07-13]  [13:34:28:358]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-13]  [13:34:30:280]  | [info] |  sending to window
[2018-07-13]  [14:40:07:735]  | [info] |  App starting...
[2018-07-13]  [14:40:07:742]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-13]  [14:40:09:651]  | [info] |  sending to window
[2018-07-13]  [15:15:48:545]  | [info] |  App starting...
[2018-07-13]  [15:15:48:549]  | [info] |  DEV ENVIRONMENT = undefined, true
[2018-07-13]  [15:15:49:975]  | [info] |  sending to window
[2018-07-13]  [15:16:32:751]  | [info] |  App starting...
[2018-07-13]  [15:16:32:753]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-13]  [15:16:34:660]  | [info] |  sending to window
[2018-07-13]  [18:04:51:122]  | [info] |  App starting...
[2018-07-13]  [18:04:51:127]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-13]  [18:04:53:203]  | [info] |  sending to window
[2018-07-13]  [18:06:50:094]  | [info] |  App starting...
[2018-07-13]  [18:06:50:097]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-13]  [18:06:51:485]  | [info] |  sending to window
[2018-07-13]  [18:11:07:929]  | [info] |  App starting...
[2018-07-13]  [18:11:07:933]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-13]  [18:11:10:303]  | [info] |  sending to window
[2018-07-13]  [18:13:00:252]  | [info] |  App starting...
[2018-07-13]  [18:13:00:256]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-13]  [18:13:02:197]  | [info] |  sending to window
[2018-07-13]  [18:15:33:905]  | [info] |  App starting...
[2018-07-13]  [18:15:33:910]  | [info] |  DEV ENVIRONMENT = true, true
[2018-07-13]  [18:15:36:118]  | [info] |  sending to window
